Temperature,Humidity,Water Level,Status
28.3,80,1.5,1
28.3,80,1.5,1
28.7,80,1.5,1
28.7,80,1.5,1
28.7,80,1.5,1
28.7,78,1.5,1
28.7,78,1.5,1
29.2,78,1.5,1
29.2,78,1.5,1
29.6,78,1.5,1
30.1,78,1.5,1
30.1,78,1.5,1
29.6,78,1.5,1
29.6,78,1.5,1
29.6,78,1.5,1
29.6,78,1.5,1
29.8,78,1.5,1
29.8,78,1.5,1
29.8,78,1.5,1
29.8,78,1.5,1
29.5,78,1.5,1
29.5,78,1.5,1
29.5,78,1.5,1
29.4,79,1.5,1
29.4,79,1.5,1
29.4,79,1.5,1
29.4,79,1.5,1
29.4,79,1.5,1
29.4,79,1.5,1
29.3,79,1.5,1
29.3,79,1.5,1
29.3,79,1.5,1
29.3,79,1.5,1
29.3,79,1.5,1
28.6,79,1.5,1
28.6,78,1.5,1
28.6,78,1.5,1
28.6,78,1.5,1
28.6,78,1.5,1
28.4,78,1.5,1
28.4,78,1.5,1
28.4,78,1.5,1
28,78,1.5,1
28,78,1.5,1
27.3,80,1.5,1
27.3,80,1.5,1
27.4,80,1.5,1
27.4,80,1.5,1
27.4,80,1.5,1
27.4,80,1.5,1
27.4,80,1.5,1
27.4,80,1.5,1
27.4,80,1.5,1
27.4,80,1.5,1
27.4,80,1.5,1
27.4,80,1.5,1
27.4,80,1.5,1
27.4,80,1.5,1
27.5,80,1.5,1
27.4,80,1.5,1
27.4,80,1.5,1
27.4,80,1.5,1
27.4,80,1.5,1
27.4,80,1.5,1
27.4,80,1.5,1
27.3,80,1.5,1
27.3,80,1.5,1
27.3,80,1.5,1
27.3,80,1.5,1
27.3,80,1.5,1
27.3,80,1.5,1
27.3,80,1.5,1
27.3,80,1.5,1
27.2,80,1.5,1
27.2,80,1.5,1
27.2,80,1.5,1
27.2,80,1.5,1
27.2,80,1.5,1
27.2,80,1.6,1
27.2,80,1.6,1
27.2,80,1.6,1
27.2,80,1.6,1
27.2,80,1.6,1
27.2,80,1.6,1
27.2,80,1.6,1
27.2,80,1.6,1
27.2,80,1.6,1
27.2,80,1.6,1
27.2,80,1.6,1
27.2,80,1.6,1
27.2,80,1.6,1
27.2,80,1.6,1
27.2,80,1.6,1
27.2,80,1.6,1
27.2,80,1.6,1
27.2,80,1.6,1
27.2,80,1.6,1
27.2,80,1.6,1
27.3,80,1.6,1
27.3,80,1.6,1
27.3,80,1.6,1
27.3,80,1.6,1
27.3,80,1.6,1
27.3,80,1.6,1
27.3,80,1.6,1
27.3,80,1.6,1
27.3,83,1.6,1
27.3,83,1.6,1
27.3,83,1.6,1
27.1,83,1.6,1
27.1,83,1.6,1
27.1,83,1.6,1
27.1,83,1.6,1
27.1,83,1.6,1
27.1,83,1.6,1
27.1,83,1.6,1
27.1,83,1.6,1
